player,team,salary_23_24,salary_24_25,guaranteed,player_id,salary_23_24_log,salary_24_25_log,salary_23_24_log_zscores,raptor_total,nba_id,DPM,raptor_zscore,darko_zscore,raptor_zscore_standardized,darko_zscore_standardized,raptor_plus_darko,salary_23_24_log_zscores_transformed,raptor_plus_darko_transformed,DARYL_SCORE,statmuse_player_names,id
Walker Kessler,UTA,2831160.0,2965920.0,2831160.0,kesslwa01,14.85619707962876,14.902697828962916,-1.5426159184252577,3.395683282,1631117,1.13,1.504407881466994,1.0767328587312122,1.5090155733633972,1.080030670002267,2.589046243365664,6.8481179266394845,8.089046243365665,55.39474258860819,walker-kessler,1
Desmond Bane,MEM,3845083.0,34005250.0,201075533.0,banede01,15.16230574716484,17.342025482424873,-1.1431027512322778,3.283197327,1630217,1.94,1.455417273366087,1.7564514965388165,1.4598749171068488,1.7618311461848508,3.2217060632917,6.0970331723166815,8.7217060632917,53.17653118708503,desmond-bane,2
Josh Okogie,PHO,2815937.0,2956734.0,2815937.0,okogijo01,14.850805623850718,14.899595838751804,-1.5496524966149685,2.758562929,1629006,0.73,1.2269251190462584,0.7410693338879507,1.230682938317326,0.7433390768256823,1.9740220151430083,6.86134669363614,7.474022015143008,51.2818562417652,josh-okogie,3
Tyrese Haliburton,IND,5808435.0,35500000.0,211708435.0,halibty01,15.574821729376367,17.385043254445645,-0.6047136624893917,5.904727224,1630169,1.81,2.597162870038474,1.6473608509647568,2.605117445694011,1.652406378402461,4.257523824096472,5.084861685480056,9.757523824096472,49.61565903830699,tyrese-haliburton,4
Immanuel Quickley,NYK,4171548.0,,4171548.0,quickim01,15.24379774791035,,-1.0367446804831262,3.349172796,1630193,1.18,1.484151334841162,1.11869079933662,1.488696985101858,1.1221171191493402,2.6108141042511983,5.897079999308277,8.110814104251197,47.830119632287214,immanuel-quickley,5
Trey Murphy III,NOP,3359280.0,5159854.0,3359280.0,murphtr02,15.027237223262636,15.456418842483805,-1.3193854230252595,1.718080196,1630530,1.02,0.7737673731911094,0.9844253893993152,0.776137263497505,0.9874404818787064,1.7635777453762111,6.4284445952874885,7.263577745376211,46.69350709971418,trey-murphy-iii,6
John Konchar,MEM,2400000.0,6165000.0,20895000.0,konchjo01,14.690979295318174,15.634398694580582,-1.758247448292826,2.383390466,1629723,-0.31,1.0635275899495364,-0.1316558307045293,1.0667849561985308,-0.1320590654334379,0.9347258907650928,7.253505202790513,6.434725890765093,46.67431772719542,john-konchar,7
Dwight Powell,DAL,4000000.0,4000000.0,8000000.0,poweldw01,15.201804919084164,15.201804919084164,-1.0915509954391192,0.6983986417,203939,1.2,0.3296690907483361,1.135473975578783,0.3306787993630333,1.1389516988081694,1.4696304981712027,6.000115871425543,6.9696304981712025,41.81859057004855,dwight-powell,8
Quentin Grimes,NYK,2385720.0,4296682.0,2385720.0,grimequ01,14.685011523538382,15.273353654898768,-1.7660361967265783,0.03281406181,1629656,-0.05,0.0397894047786711,0.0865254604435906,0.0399112715411495,0.0867904701313421,0.1267017416724917,7.2681480498459665,5.626701741672492,40.895701290801824,quentin-grimes,9
Tyrese Maxey,PHI,4343920.0,,4343920.0,maxeyty01,15.284287724220066,,-0.9838997911003162,1.78539062,1630178,0.7,0.8030828428716565,0.7158945695247061,0.8055425204317287,0.7180872073374385,1.5236297277691673,5.797731607268595,7.023629727769167,40.72112007043862,tyrese-maxey,10
